PID,KICKER,KGRO,KNET,KTB,KR,KRY
367296,LT-1100,65,44,N,QD-0100,21
367308,LT-1100,72,41,N,QD-0100,31
367322,DA-0300,63,40,N,AB-2600,23
367337,NR-0100,74,-30,N,AR-1700,104
367339,JN-0600,66,45,N,SB-1400,21
367349,NR-0100,48,36,N,KB-0200,12
367378,JN-0600,74,48,N,SB-1400,26
367384,NR-0100,70,50,Y,XX-0000,0
367401,NR-0100,71,47,N,AR-1700,24
367419,JN-0600,70,70,N,XX-0000,0
367421,JN-0600,69,31,N,SB-1400,38
367430,NR-0100,41,27,N,BB-0500,14
367440,JN-0600,73,52,N,SB-1400,21
367461,NR-0100,73,50,N,AR-1700,23
367488,NR-0100,67,32,N,AR-1700,35
367511,SG-0800,62,32,N,LW-0500,30
367523,JF-0900,65,39,N,EH-0800,26
367534,SG-0800,71,34,N,LW-0500,37
367545,JF-0900,65,42,N,EH-0800,23
367558,SG-0800,62,-30,N,LW-0500,92
367560,JF-0900,70,39,N,EH-0800,31
367574,JF-0900,52,52,N,MS-2100,0
367597,SG-0800,44,43,N,BS-2400,1
367599,JF-0900,73,49,N,EH-0800,24
367643,SG-0800,54,36,N,LW-0500,18
367655,SG-0800,48,37,N,DB-3300,11
367673,JF-0900,68,37,N,EH-0800,31
367692,SG-0800,14,14,N,XX-0000,0
367693,SG-0800,70,50,Y,XX-0000,0
367708,MP-2100,70,50,N,JN-1800,20
367725,MP-2100,65,39,N,JN-1800,26
367739,MK-1200,71,51,N,ER-0500,20
367752,MK-1200,66,8,N,ER-0500,58
367766,MK-1200,69,29,N,ER-0500,40
367787,MK-1200,68,47,N,ER-0500,21
367800,MP-2100,73,56,N,JN-1800,17
367821,MP-2100,69,47,N,HD-0300,22
367832,MK-1200,73,53,N,ER-0500,20
367846,MP-2100,63,46,N,JN-1800,17
367862,DC-0500,70,30,N,JM-4800,40
367880,DC-0500,67,38,N,JM-4800,29
367924,SJ-0300,72,50,N,TG-0900,22
367930,SJ-0300,61,47,N,TG-0900,14
367941,BF-0300,68,43,N,JH-3700,25
367961,DC-0500,60,45,N,JM-4800,15
367982,SJ-0300,72,55,N,TG-0900,17
