PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
5868,TS-0500,68,50,N,NJ-0200,18,N
5886,TS-0500,52,47,N,NJ-0200,5,N
5890,DB-1500,64,57,N,LP-0100,7,N
5900,DB-1500,52,52,N,XX-0000,0,N
5912,TS-0500,31,31,N,NJ-0200,0,Y
5917,DB-1500,46,36,N,KL-1100,10,N
5929,TS-0500,54,48,N,NJ-0200,6,N
6001,DB-1500,64,56,N,KL-1100,8,N
6058,LJ-1000,26,15,N,CW-0600,11,N
6080,MB-2100,47,34,N,TB-3300,13,N
6092,LJ-1000,36,36,N,DP-0200,0,Y
6096,MB-2100,47,47,N,XX-0000,0,N
6100,LJ-1000,46,49,N,DP-0200,-3,N
6129,MB-2100,41,22,N,KF-0200,19,N
6146,MB-2100,26,23,N,KF-0200,3,N
6156,LJ-1000,43,43,N,DP-0200,0,Y
6160,MB-2100,43,43,N,KF-0200,0,N
6176,TT-1700,45,25,Y,XX-0000,0,N
6198,CM-2600,43,43,N,DW-0800,0,N
6202,TT-1700,51,38,N,CW-0900,13,N
6206,CM-2600,48,48,N,XX-0000,0,N
6211,TT-1700,70,50,Y,XX-0000,0,N
6215,CM-2600,48,29,N,DW-0800,19,N
6232,CM-2600,31,31,N,XX-0000,0,N
6241,TT-1700,28,28,N,XX-0000,0,N
6281,CM-2600,23,23,N,XX-0000,0,N
6298,TT-1700,46,37,N,CW-0900,9,N
6312,CM-2600,46,38,N,DW-0800,8,N
6316,TT-1700,34,34,N,CW-0900,0,N
6397,TR-0900,-29,-32,N,XX-0000,0,N
6415,SL-0400,45,45,N,DO-0200,0,Y
6446,SL-0400,48,40,N,DO-0200,8,N
6493,TG-1500,28,28,N,CC-0400,0,Y
6505,TG-1500,46,38,N,CC-0400,8,N
6509,JF-0800,56,56,N,XX-0000,0,N
6551,JF-0800,43,37,N,CM-3100,6,N
6573,TG-1500,38,32,N,CC-0400,6,N
6583,TG-1500,46,35,N,CC-0400,11,N
6602,TG-1500,46,39,N,CC-0400,7,N
6627,JF-0800,24,24,N,XX-0000,0,N
