PID,FGXP,FKICKER,DIST,GOOD
13922,FG,MG-1200,33,Y
13938,FG,MG-1200,35,Y
13948,FG,GA-0300,51,N
13949,XP,MG-1200,20,Y
13957,XP,GA-0300,20,Y
13975,FG,GA-0300,19,Y
14006,XP,DA-0300,20,Y
14027,FG,DA-0300,31,Y
14054,XP,DA-0300,20,Y
14070,XP,DA-0300,20,Y
14083,XP,CB-1700,20,Y
14106,XP,CB-1700,20,Y
14124,XP,DA-0300,20,N
14133,FG,DA-0300,29,Y
14173,FG,JC-0900,36,Y
14180,XP,SC-0700,20,Y
14190,XP,SC-0700,20,Y
14195,XP,JC-0900,20,Y
14234,XP,JC-0900,20,Y
14243,XP,JC-0900,20,Y
14269,XP,SC-0700,20,Y
14312,FG,SC-0700,29,Y
14336,FG,SC-0700,46,Y
14343,FG,JE-0200,22,Y
14374,FG,PD-0200,45,Y
14384,FG,JE-0200,45,N
14396,XP,JE-0200,20,Y
14409,XP,JE-0200,20,Y
14427,FG,JE-0200,45,Y
14439,XP,PD-0200,20,Y
14444,XP,JE-0200,20,Y
14455,XP,JE-0200,20,Y
14475,XP,JE-0200,20,Y
14487,FG,JE-0200,46,Y
14544,XP,RL-1300,20,Y
14575,XP,WR-0500,20,Y
14589,XP,RL-1300,20,Y
14604,XP,RL-1300,20,Y
14618,XP,WR-0500,20,Y
14637,XP,WR-0500,20,Y
14647,XP,RL-1300,20,Y
14655,XP,WR-0500,20,Y
14666,FG,RL-1300,35,Y
14695,XP,SJ-0300,20,Y
14705,FG,TP-1200,44,N
14713,FG,SJ-0300,47,N
14725,FG,TP-1200,27,Y
14736,XP,TP-1200,20,Y
14751,XP,TP-1200,20,Y
14754,FG,SJ-0300,59,N
14764,FG,SJ-0300,47,Y
14801,XP,SJ-0300,20,Y
14831,FG,SJ-0300,43,Y
14851,XP,JH-0500,20,Y
14855,XP,JH-0500,20,Y
14867,FG,AV-0400,23,Y
14891,XP,AV-0400,20,Y
14909,XP,JH-0500,20,Y
14920,FG,JH-0500,38,Y
14943,XP,JH-0500,20,Y
14968,FG,JH-0500,46,N
14975,XP,AV-0400,20,Y
14989,FG,JH-0500,27,Y
15033,FG,DB-3900,51,N
15049,XP,DB-3900,20,Y
15080,FG,JN-0600,52,Y
15094,FG,DB-3900,29,Y
15097,FG,JN-0600,46,Y
15156,XP,DB-3900,20,Y
15165,XP,DB-3900,20,Y
15231,XP,BD-0100,20,Y
15264,FG,BD-0100,24,Y
15269,XP,TS-1100,20,Y
15278,FG,BD-0100,20,Y
15288,XP,TS-1100,20,Y
15345,XP,KB-2300,20,Y
15423,FG,KB-2300,36,Y
15466,FG,KB-2300,28,Y
15525,XP,MV-0100,20,Y
15534,FG,RL-0900,21,N
15550,FG,MV-0100,23,Y
15559,XP,RL-0900,20,Y
15567,XP,MV-0100,20,Y
15581,XP,RL-0900,20,Y
15592,FG,MV-0100,38,Y
15596,FG,RL-0900,51,Y
15610,XP,MV-0100,20,Y
15628,XP,MV-0100,20,Y
15641,FG,MV-0100,40,Y
15657,XP,RL-0900,20,Y
15675,XP,MA-0700,20,Y
15677,XP,JW-3300,20,Y
15689,XP,MA-0700,20,Y
15744,XP,MA-0700,20,Y
15899,FG,KH-1500,37,Y
15912,FG,MS-5200,51,Y
15956,XP,KH-1500,20,Y
16045,FG,PE-0100,22,Y
16048,XP,GA-0300,20,Y
16058,XP,GA-0300,20,Y
16087,XP,GA-0300,20,Y
16112,XP,PE-0100,20,Y
16123,XP,GA-0300,20,Y
16166,FG,MH-3100,23,Y
16174,XP,AD-0800,20,Y
16190,XP,AD-0800,20,Y
16204,FG,AD-0800,26,Y
16239,XP,AD-0800,20,Y
16251,FG,AD-0800,44,N
16264,FG,MH-3100,45,Y
16285,FG,AD-0800,28,Y
16297,XP,MH-3100,20,Y
16314,FG,MG-1200,27,Y
16324,FG,MG-1200,43,Y
16357,FG,JH-0900,32,Y
16363,FG,MG-1200,50,Y
16391,FG,JH-0900,47,Y
16420,FG,JH-0900,40,N
16426,FG,MG-1200,55,Y
16447,XP,JH-0900,20,Y
16458,XP,JH-0900,20,Y
16475,FG,MA-0700,50,Y
16490,XP,DB-3900,20,Y
16516,FG,MA-0700,33,N
16523,FG,MA-0700,44,Y
16535,XP,MA-0700,20,Y
16566,XP,DB-3900,20,Y
16601,XP,DB-3900,20,Y
16634,FG,MS-5200,21,Y
16657,FG,MS-5200,38,Y
16687,XP,AD-0800,20,Y
16700,XP,AD-0800,20,Y
16790,XP,JN-0600,20,Y
16809,XP,WR-0500,20,N
